Week,Day,Concept,Task,Level,Confidence,Completed,Instructions
14,1,Function hoisting,Study and Comprehend,Intermediate,10,TRUE,Update FALSE to TRUE in the COMPLETED column
14,1,Destructuring assignment,Study and Comprehend,Intermediate,10,TRUE,Update FALSE to TRUE in the COMPLETED column
14,1,Spread operator,Study and Comprehend,Intermediate,10,TRUE,Update FALSE to TRUE in the COMPLETED column
